"padj" "direction"
"Rell1" 3.28193280743597e-07 "Upregulated"
"Gm4285" 3.33532508097185e-07 "Upregulated"
"Bag1" 3.36240640038673e-07 "Upregulated"
"Tpcn1" 3.37807157179e-07 "Upregulated"
"Ndst1" 3.4278827410674e-07 "Upregulated"
"Gm36161" 3.57646745676914e-07 "Downregulated"
"Gm17082" 3.7113979633034e-07 "Downregulated"
"Gm10300" 3.73886892910444e-07 "Upregulated"
"H3f3c" 3.78380834380723e-07 "Upregulated"
"Gm73106" 3.78745208546662e-07 "Upregulated"
"Tcstv4" 3.96770257850663e-07 "Downregulated"
"Tnfrsf13b" 4.4130469259803e-07 "Upregulated"
"Ppp5c" 4.45489751544855e-07 "Downregulated"
"Ighv8-8" 4.51813902560657e-07 "Upregulated"
"Gm33111" 5.01878621765263e-07 "Upregulated"
"A930006K02Rik" 5.25000951397934e-07 "Upregulated"
"Xpa" 5.35998115935629e-07 "Upregulated"
"Gm64827" 5.38874476438702e-07 "Upregulated"
"Prnp" 5.63203807305608e-07 "Upregulated"
"Snrpd1" 5.70441363822619e-07 "Downregulated"
"Heatr1" 5.98042959423816e-07 "Downregulated"
"Gm74907" 6.02116855094937e-07 "Upregulated"
"Sirpd" 6.11464125836564e-07 "Downregulated"
"Ptpn6" 6.37385951435295e-07 "Downregulated"
"Taldo1" 6.67033830310286e-07 "Upregulated"
"Gm15441" 7.11868866968764e-07 "Upregulated"
"Lbp" 7.40046361637334e-07 "Upregulated"
"Lpl" 7.56697196331133e-07 "Downregulated"
"Phf11a" 7.7000701996949e-07 "Downregulated"
"Ccdc25" 8.12762091919738e-07 "Downregulated"
"Tlcd4" 8.2166417389605e-07 "Upregulated"
"Gm27230" 8.48466196515172e-07 "Upregulated"
"Lrrk1" 8.79354812960329e-07 "Downregulated"
"Pbx1" 8.95634848297442e-07 "Upregulated"
"Gm67658" 9.09225289463328e-07 "Upregulated"
"Parp10" 9.30217470957132e-07 "Downregulated"
"Gatb" 9.43683173910953e-07 "Downregulated"
"Bloodlinc" 1.02611880893986e-06 "Upregulated"
"Cfap96" 1.03702000931795e-06 "Upregulated"
"Plvap" 1.04817525116154e-06 "Upregulated"
"Tex14" 1.11747738482205e-06 "Downregulated"
"Gm14862" 1.13051116254168e-06 "Upregulated"
"F630206G17Rik" 1.13272592572324e-06 "Upregulated"
"Fgfr1op2" 1.14817465587219e-06 "Upregulated"
"Dnajb6-ps" 1.16606074564909e-06 "Upregulated"
"Sbk1" 1.1697928002414e-06 "Upregulated"
"Gm62595" 1.18635260915981e-06 "Upregulated"
"9830132P13Rik" 1.2125696712328e-06 "Upregulated"
"Ube2c" 1.33132809504861e-06 "Upregulated"
"P2ry14" 1.36173513996939e-06 "Downregulated"
"Gm42151" 1.38292089026037e-06 "Upregulated"
"Cycs" 1.38292089026037e-06 "Downregulated"
"H3f3a-ps1" 1.39541011344875e-06 "Upregulated"
"Idh3b" 1.42293800601153e-06 "Downregulated"
"Bak1" 1.44610256656123e-06 "Downregulated"
"Psmb2" 1.51179416428953e-06 "Downregulated"
"Drp2" 1.51698582993214e-06 "Upregulated"
"Atg4a" 1.71345312644311e-06 "Upregulated"
"Gm4013" 1.8000215725719e-06 "Upregulated"
"Inhca" 1.93747422407471e-06 "Upregulated"
"Blvra" 1.95449881615888e-06 "Downregulated"
"Snx3" 2.02443484923072e-06 "Upregulated"
"4933412E12Rik" 2.08964151122566e-06 "Downregulated"
"Lrrc25" 2.14336435310859e-06 "Downregulated"
"Pkn2" 2.22733324971674e-06 "Upregulated"
"Gm30948" 2.23934297700833e-06 "Upregulated"
"Ripk2" 2.24203373102356e-06 "Downregulated"
"Casp6" 2.24703577695315e-06 "Upregulated"
"Farsa" 2.26191552352519e-06 "Downregulated"
"Gm36920" 2.29286959624229e-06 "Upregulated"
"Ctxn1" 2.31493861207624e-06 "Upregulated"
"R3hdm4" 2.39469027956968e-06 "Upregulated"
"Csgalnact2" 2.45340224780243e-06 "Upregulated"
"Nacad" 2.48776494257479e-06 "Upregulated"
"Ranbp10" 2.5349575367666e-06 "Upregulated"
"Gm41604" 2.57687686215073e-06 "Upregulated"
"Cfb" 2.61559442738704e-06 "Downregulated"
"Gm17344" 2.63678765524369e-06 "Upregulated"
"Gm65989" 2.64267934291736e-06 "Upregulated"
"Ppt2" 2.64267934291736e-06 "Downregulated"
"Celsr3" 2.81574872491916e-06 "Upregulated"
"Msr1" 2.87305069905593e-06 "Downregulated"
"Clybl" 2.8762145872017e-06 "Downregulated"
"Cstb" 3.10135124048677e-06 "Downregulated"
"Pycr1" 3.15588012836998e-06 "Upregulated"
"Sorl1" 3.19335504920935e-06 "Upregulated"
"Gm10039" 3.21248102048967e-06 "Downregulated"
"Gtf3c5" 3.25493066469642e-06 "Downregulated"
"Cir1" 3.33843335724407e-06 "Upregulated"
"Gm8013" 3.33843335724407e-06 "Upregulated"
"Cd300e" 3.33843335724407e-06 "Downregulated"
"Tbx2" 3.34279518441784e-06 "Upregulated"
"Slc28a2b" 3.3761149807812e-06 "Upregulated"
"Pllp" 3.46678118232922e-06 "Upregulated"
"Pkd2l2" 3.4948559034959e-06 "Upregulated"
"Gm62541" 3.71362230926833e-06 "Upregulated"
"Cnn3" 3.8084362524415e-06 "Downregulated"
"Gm56965" 3.87404661510618e-06 "Upregulated"
"Gm67095" 3.93877316385353e-06 "Upregulated"
"Syt5" 4.05618476104481e-06 "Upregulated"
"Sdad1" 4.23556015275341e-06 "Downregulated"
"Add1" 4.32101442887895e-06 "Upregulated"
"Gm66303" 4.32101442887895e-06 "Upregulated"
"NA.3" NA NA
"Afap1l1" 4.36302048450449e-06 "Upregulated"
"Cep76" 4.37323090790923e-06 "Upregulated"
"A330040F15Rik" 4.47485169719318e-06 "Downregulated"
"Leng9" 4.48127229968791e-06 "Downregulated"
"Gdpd3" 4.90822796672808e-06 "Upregulated"
"Nrxn2" 5.49980391906964e-06 "Upregulated"
"Dnajc28" 5.53818831813697e-06 "Upregulated"
"Asb17os" 5.62152260614546e-06 "Upregulated"
"Stk17b" 5.64159797422751e-06 "Upregulated"
"Ddx25" 5.66464189271096e-06 "Upregulated"
"Aqp1" 5.69565691582015e-06 "Upregulated"
"Gm47730" 5.69565691582015e-06 "Upregulated"
"Foxo3" 5.83027594002396e-06 "Upregulated"
"Zup1" 5.87379158635988e-06 "Downregulated"
"Accsl" 5.88382692034761e-06 "Upregulated"
"Gm56817" 5.88382692034761e-06 "Downregulated"
"Kcna2" 5.90510600215311e-06 "Upregulated"
"Cert1" 5.90510600215311e-06 "Upregulated"
"Clic5" 5.94257440102101e-06 "Downregulated"
"Gm75710" 6.05526351688288e-06 "Upregulated"
"Mpp7" 6.05907147022573e-06 "Upregulated"
"St8sia1" 6.38252118981785e-06 "Upregulated"
"Gm43412" 6.41194450430616e-06 "Upregulated"
"NA.4" NA NA
"NA.5" NA NA
"Gm57146" 6.57304930813853e-06 "Upregulated"
"Svep1" 6.64442453291755e-06 "Upregulated"
"Cpeb3" 6.74332824770803e-06 "Upregulated"
"Aimp2" 6.81802928579536e-06 "Downregulated"
"Tpt1-ps6" 7.00263642852892e-06 "Upregulated"
"Tubb2b" 7.43256555771872e-06 "Upregulated"
"Mgl2" 7.47231304218464e-06 "Upregulated"
"Gm68668" 7.68651696803599e-06 "Upregulated"
"Gm70599" 7.96869593334757e-06 "Upregulated"
"Gm60693" 7.97067046673736e-06 "Upregulated"
"Fam110c" 8.1105990723202e-06 "Upregulated"
"Nlrc4" 8.27147991600086e-06 "Downregulated"
"Ttc7b" 8.40751167786105e-06 "Upregulated"
"Gm29915" 8.52430554166646e-06 "Upregulated"
"Xaf1" 8.68485425958691e-06 "Downregulated"
"Gm35154" 8.72770090633797e-06 "Downregulated"
"Grina" 8.72770090633797e-06 "Upregulated"
"NA.6" NA NA
"Sp3os" 9.01623896787698e-06 "Upregulated"
"Susd1" 9.13494209853585e-06 "Upregulated"
"Stom" 9.15864582762216e-06 "Upregulated"
"Gm74406" 9.19244719763892e-06 "Upregulated"
"Gm66538" 9.37119532450637e-06 "Upregulated"
"Tpt1-ps5" 9.44209839302951e-06 "Upregulated"
"Tanc2" 1.01019365759348e-05 "Upregulated"
"Gm16580" 1.04496733840103e-05 "Upregulated"
"Gm9506" 1.10199617358991e-05 "Upregulated"
"Mgll" 1.11248615097393e-05 "Upregulated"
"Gm11992" 1.11860412668352e-05 "Downregulated"
"Fbxw17" 1.12634398997544e-05 "Downregulated"
"Gm68273" 1.14076183129169e-05 "Upregulated"
"Tesk1" 1.18807026408808e-05 "Downregulated"
"Bcl2l1" 1.2440674103028e-05 "Upregulated"
"C230096K16Rik" 1.24858458825694e-05 "Upregulated"
"Nhlrc4" 1.2790198124872e-05 "Upregulated"
"Tnfrsf14" 1.34110637312089e-05 "Downregulated"
"Lrmda" 1.35348068399713e-05 "Downregulated"
"B230208H11Rik" 1.35934080805791e-05 "Upregulated"
"Selenbp1" 1.43217853271802e-05 "Upregulated"
"Gm33934" 1.55963127457836e-05 "Upregulated"
"Gm4633" 1.56674791142367e-05 "Upregulated"
"Gm56580" 1.59309052043258e-05 "Upregulated"
"Gm31925" 1.61600860619598e-05 "Upregulated"
"3830408C21Rik" 1.63415470033706e-05 "Upregulated"
"Gm13803" 1.65359395566729e-05 "Upregulated"
"Egr2" 1.70126372423135e-05 "Upregulated"
"Gm71569" 1.72436615873804e-05 "Upregulated"
"Fhip1b" 1.7322104690655e-05 "Upregulated"
"Gm57206" 1.7729420371363e-05 "Downregulated"
"Ms4a7" 1.79305082591386e-05 "Downregulated"
"Gm12727" 1.80805654440561e-05 "Upregulated"
"Gm72331" 1.8114289710054e-05 "Downregulated"
"Tomm40" 1.83640275628302e-05 "Downregulated"
"Gm39985" 1.8516839478801e-05 "Upregulated"
"Mast4" 1.86196627231867e-05 "Upregulated"
"Dnajb2" 1.87258979307993e-05 "Upregulated"
"Slfn9" 1.88945727143891e-05 "Downregulated"
"Hspa8" 1.96706126547832e-05 "Downregulated"
"Napepld" 1.99181914855823e-05 "Downregulated"
